,time,value
1,1903,-1.12422
2,1903.08333333333,-1.16433
3,1903.16666666667,-1.34911
4,1903.25,-0.94544
5,1903.33333333333,-0.65367
6,1903.41666666667,-0.17833
7,1903.5,-0.11711
8,1903.58333333333,-0.28167
9,1903.66666666667,-1.19522
10,1903.75,-1.43289
11,1903.83333333333,-2.00689
12,1903.91666666667,-0.77333
13,1904,0.18578
14,1904.08333333333,1.50567
15,1904.16666666667,1.59089
16,1904.25,1.18456
17,1904.33333333333,1.15633
18,1904.41666666667,1.15167
19,1904.5,1.23289
20,1904.58333333333,1.65833
21,1904.66666666667,2.13478
22,1904.75,1.34711
23,1904.83333333333,-0.44689
24,1904.91666666667,-1.96333
25,1905,-1.66422
26,1905.08333333333,-0.56433
27,1905.16666666667,-0.66911
28,1905.25,-0.99544
29,1905.33333333333,-1.28367
30,1905.41666666667,-1.49833
31,1905.5,-1.60711
32,1905.58333333333,-2.11167
33,1905.66666666667,-2.85522
34,1905.75,-1.25289
35,1905.83333333333,0.78311
36,1905.91666666667,1.01667
37,1906,1.20578
38,1906.08333333333,0.11567
39,1906.16666666667,-2.08911
40,1906.25,-2.00544
41,1906.33333333333,-1.36367
42,1906.41666666667,-1.67833
43,1906.5,-2.50711
44,1906.58333333333,-3.58167
45,1906.66666666667,-4.35522
46,1906.75,-3.62289
47,1906.83333333333,-3.78689
48,1906.91666666667,-3.82333
49,1907,-3.55422
50,1907.08333333333,-2.04433
51,1907.16666666667,-2.53911
52,1907.25,-0.61544
53,1907.33333333333,-0.31367
54,1907.41666666667,-0.37833
55,1907.5,-0.50711
56,1907.58333333333,-1.10167
57,1907.66666666667,-1.59522
58,1907.75,-1.25289
59,1907.83333333333,-1.78689
60,1907.91666666667,-0.26333
61,1908,0.54578
62,1908.08333333333,1.01567
63,1908.16666666667,1.28089
64,1908.25,1.63456
65,1908.33333333333,1.59633
66,1908.41666666667,1.34167
67,1908.5,1.16289
68,1908.58333333333,1.52833
69,1908.66666666667,2.51478
70,1908.75,0.94711
71,1908.83333333333,0.16311
72,1908.91666666667,0.77667
73,1909,0.75578
74,1909.08333333333,0.36567
75,1909.16666666667,1.05089
76,1909.25,1.47456
77,1909.33333333333,1.54633
78,1909.41666666667,1.56167
79,1909.5,1.24289
80,1909.58333333333,0.50833
81,1909.66666666667,-1.84522
82,1909.75,-3.21289
83,1909.83333333333,-1.86689
84,1909.91666666667,-3.37333
85,1910,-3.09422
86,1910.08333333333,-1.76433
87,1910.16666666667,-0.20911
88,1910.25,0.06456
89,1910.33333333333,-0.18367
90,1910.41666666667,0.11167
91,1910.5,0.48289
92,1910.58333333333,0.84833
93,1910.66666666667,0.99478
94,1910.75,0.30711
95,1910.83333333333,-0.11689
96,1910.91666666667,0.50667
97,1911,1.29578
98,1911.08333333333,-0.51433
99,1911.16666666667,-0.26911
100,1911.25,-0.13544
101,1911.33333333333,0.30633
102,1911.41666666667,-0.01833
103,1911.5,0.01289
104,1911.58333333333,0.22833
105,1911.66666666667,0.05478
106,1911.75,-2.08289
107,1911.83333333333,-1.12689
108,1911.91666666667,0.46667
109,1912,-0.17422
110,1912.08333333333,-2.17433
111,1912.16666666667,-3.99911
112,1912.25,-4.20544
113,1912.33333333333,-3.23367
114,1912.41666666667,-2.77833
115,1912.5,-2.70711
116,1912.58333333333,-2.48167
117,1912.66666666667,-1.52522
118,1912.75,0.77711
119,1912.83333333333,0.86311
120,1912.91666666667,0.60667
121,1913,1.60578
122,1913.08333333333,1.25567
123,1913.16666666667,0.69089
124,1913.25,0.52456
125,1913.33333333333,0.51633
126,1913.41666666667,0.71167
127,1913.5,1.08289
128,1913.58333333333,1.63833
129,1913.66666666667,3.07478
130,1913.75,3.89711
131,1913.83333333333,2.68311
132,1913.91666666667,2.51667
133,1914,1.13578
134,1914.08333333333,-0.13433
135,1914.16666666667,0.05089
136,1914.25,0.26456
137,1914.33333333333,0.63633
138,1914.41666666667,0.84167
139,1914.5,0.59289
140,1914.58333333333,0.33833
141,1914.66666666667,1.15478
142,1914.75,0.90711
143,1914.83333333333,-0.61689
144,1914.91666666667,-1.83333
145,1915,-0.13422
146,1915.08333333333,0.77567
147,1915.16666666667,1.24089
148,1915.25,0.95456
149,1915.33333333333,0.70633
150,1915.41666666667,0.09167
151,1915.5,-0.13711
152,1915.58333333333,-0.33167
153,1915.66666666667,-0.73522
154,1915.75,-1.13289
155,1915.83333333333,-1.54689
156,1915.91666666667,0.05667
157,1916,0.07578
158,1916.08333333333,0.49567
159,1916.16666666667,0.66089
160,1916.25,-0.09544
161,1916.33333333333,-0.66367
162,1916.41666666667,-0.92833
163,1916.5,-1.17711
164,1916.58333333333,-2.72167
165,1916.66666666667,-4.54522
166,1916.75,-4.16289
167,1916.83333333333,-2.36689
168,1916.91666666667,-2.51333
169,1917,-1.11422
170,1917.08333333333,-1.63433
171,1917.16666666667,-2.96911
172,1917.25,-2.25544
173,1917.33333333333,-1.40367
174,1917.41666666667,-0.85833
175,1917.5,-1.48711
176,1917.58333333333,-2.84167
177,1917.66666666667,-2.13522
178,1917.75,-1.07289
179,1917.83333333333,0.68311
180,1917.91666666667,1.01667
181,1918,0.29578
182,1918.08333333333,-0.40433
183,1918.16666666667,1.26089
184,1918.25,1.72456
185,1918.33333333333,1.19633
186,1918.41666666667,1.15167
187,1918.5,0.75289
188,1918.58333333333,0.22833
189,1918.66666666667,-0.35522
190,1918.75,-0.29289
191,1918.83333333333,-0.00689
192,1918.91666666667,0.08667
193,1919,0.79578
194,1919.08333333333,-0.18433
195,1919.16666666667,-1.02911
196,1919.25,-0.92544
197,1919.33333333333,-0.93367
198,1919.41666666667,-1.23833
199,1919.5,-1.58711
200,1919.58333333333,-1.47167
201,1919.66666666667,-1.56522
202,1919.75,-1.62289
203,1919.83333333333,-0.55689
204,1919.91666666667,-0.80333
205,1920,0.94578
206,1920.08333333333,1.31567
207,1920.16666666667,1.24089
208,1920.25,1.11456
209,1920.33333333333,0.67633
210,1920.41666666667,0.73167
211,1920.5,1.17289
212,1920.58333333333,1.82833
213,1920.66666666667,2.58478
214,1920.75,2.43711
215,1920.83333333333,1.94311
216,1920.91666666667,0.34667
217,1921,0.70578
218,1921.08333333333,0.46567
219,1921.16666666667,0.66089
220,1921.25,1.03456
221,1921.33333333333,1.54633
222,1921.41666666667,1.38167
223,1921.5,1.01289
224,1921.58333333333,0.88833
225,1921.66666666667,1.02478
226,1921.75,-0.25289
227,1921.83333333333,-0.97689
228,1921.91666666667,0.81667
229,1922,1.04578
230,1922.08333333333,1.17567
231,1922.16666666667,1.47089
232,1922.25,1.82456
233,1922.33333333333,1.69633
234,1922.41666666667,1.78167
235,1922.5,1.79289
236,1922.58333333333,2.28833
237,1922.66666666667,3.60478
238,1922.75,4.39711
239,1922.83333333333,2.65311
240,1922.91666666667,1.59667
241,1923,2.10578
242,1923.08333333333,2.88567
243,1923.16666666667,2.19089
244,1923.25,1.36456
245,1923.33333333333,0.75633
246,1923.41666666667,0.57167
247,1923.5,0.71289
248,1923.58333333333,0.93833
249,1923.66666666667,1.19478
250,1923.75,0.42711
251,1923.83333333333,-0.70689
252,1923.91666666667,-0.81333
253,1924,0.56578
254,1924.08333333333,0.20567
255,1924.16666666667,-1.47911
256,1924.25,-2.40544
257,1924.33333333333,-2.61367
258,1924.41666666667,-1.96833
259,1924.5,-1.31711
260,1924.58333333333,-1.40167
261,1924.66666666667,-2.93522
262,1924.75,-0.79289
263,1924.83333333333,0.52311
264,1924.91666666667,0.21667
265,1925,0.55578
266,1925.08333333333,-0.00433
267,1925.16666666667,0.54089
268,1925.25,1.00456
269,1925.33333333333,0.82633
270,1925.41666666667,0.68167
271,1925.5,0.93289
272,1925.58333333333,1.21833
273,1925.66666666667,1.95478
274,1925.75,1.21711
275,1925.83333333333,-0.62689
276,1925.91666666667,-0.50333
277,1926,-1.43422
278,1926.08333333333,-3.68433
279,1926.16666666667,-3.73911
280,1926.25,-5.83544
281,1926.33333333333,-6.99367
282,1926.41666666667,-6.08833
283,1926.5,-5.79711
284,1926.58333333333,-6.36167
285,1926.66666666667,-4.59522
286,1926.75,-3.93289
287,1926.83333333333,-1.73689
288,1926.91666666667,-0.20333
289,1927,0.10578
290,1927.08333333333,0.84567
291,1927.16666666667,0.89089
292,1927.25,0.28456
293,1927.33333333333,0.06633
294,1927.41666666667,-0.01833
295,1927.5,-0.27711
296,1927.58333333333,-0.18167
297,1927.66666666667,0.00478
298,1927.75,0.40711
299,1927.83333333333,1.11311
300,1927.91666666667,1.14667
301,1928,-1.00422
302,1928.08333333333,-0.36433
303,1928.16666666667,1.21089
304,1928.25,1.09456
305,1928.33333333333,0.96633
306,1928.41666666667,0.91167
307,1928.5,0.61289
308,1928.58333333333,0.23833
309,1928.66666666667,-1.38522
310,1928.75,-0.60289
311,1928.83333333333,-0.02689
312,1928.91666666667,-1.17333
313,1929,-1.53422
314,1929.08333333333,-2.09433
315,1929.16666666667,-2.38911
316,1929.25,-0.78544
317,1929.33333333333,0.01633
318,1929.41666666667,0.48167
319,1929.5,0.25289
320,1929.58333333333,0.40833
321,1929.66666666667,0.54478
322,1929.75,-0.85289
323,1929.83333333333,-1.30689
324,1929.91666666667,-0.72333
325,1930,-0.72422
326,1930.08333333333,0.02567
327,1930.16666666667,0.23089
328,1930.25,0.26456
329,1930.33333333333,0.15633
330,1930.41666666667,0.05167
331,1930.5,0.26289
332,1930.58333333333,0.47833
333,1930.66666666667,0.87478
334,1930.75,0.74711
335,1930.83333333333,0.02311
336,1930.91666666667,-0.83333
337,1931,-0.92422
338,1931.08333333333,-1.05433
339,1931.16666666667,-0.67911
340,1931.25,-0.54544
341,1931.33333333333,-0.61367
342,1931.41666666667,-0.96833
343,1931.5,-1.53711
344,1931.58333333333,-2.52167
345,1931.66666666667,-2.98522
346,1931.75,-1.34289
347,1931.83333333333,-0.27689
348,1931.91666666667,-0.60333
349,1932,0.58578
350,1932.08333333333,1.80567
351,1932.16666666667,1.60089
352,1932.25,1.09456
353,1932.33333333333,0.59633
354,1932.41666666667,0.19167
355,1932.5,0.12289
356,1932.58333333333,0.17833
357,1932.66666666667,0.23478
358,1932.75,-0.13289
359,1932.83333333333,-0.44689
360,1932.91666666667,-0.97333
361,1933,-0.32422
362,1933.08333333333,0.15567
363,1933.16666666667,0.31089
364,1933.25,0.32456
365,1933.33333333333,0.40633
366,1933.41666666667,0.48167
367,1933.5,0.57289
368,1933.58333333333,-0.26167
369,1933.66666666667,-2.75522
370,1933.75,-2.30289
371,1933.83333333333,-1.17689
372,1933.91666666667,-0.66333
373,1934,-0.70422
374,1934.08333333333,-0.00433
375,1934.16666666667,0.60089
376,1934.25,0.36456
377,1934.33333333333,0.29633
378,1934.41666666667,0.02167
379,1934.5,0.29289
