Index,X,Y
1,10.2564,18.0048
2,11.7949,12.2356
3,13.3333,19.9279
4,15.1282,30.6971
5,16.9231,17.2356
6,17.1795,35.3125
7,18.2051,41.4663
8,18.2051,27.6202
9,22.0513,44.9279
10,23.5897,38.0048
11,24.1026,48.0048
12,24.1026,25.6971
13,26.4103,44.1587
14,26.4103,36.4663
15,27.9487,54.5433
16,28.7179,49.1587
17,28.7179,27.2356
18,29.4872,31.851
19,33.0769,38.774
20,33.8462,59.5433
21,34.6154,49.1587
22,35.3846,36.4663
23,35.8974,41.4663
24,36.6667,50.6971
25,37.1795,40.3125
26,38.7179,59.9279
27,40.7692,63.3894
28,41.7949,46.4663
29,42.0513,52.6202
30,43.5897,70.3125
31,45.8974,56.851
32,45.8974,52.2356
33,46.6667,65.6971
34,46.6667,71.4663
35,46.6667,71.4663
36,48.4615,67.2356
37,48.4615,67.2356
38,51.7949,70.6971
39,53.3333,64.9279
40,59.4872,70.3125
